Iteration;Array;ArrayList;LinkedList
947;36;44;252
948;48;54;290
949;36;41;261
950;36;44;246
951;43;50;291
952;36;46;255
953;36;45;266
954;36;42;245
955;48;50;257
956;41;51;263
957;44;50;248
958;44;50;256
959;36;41;247
960;36;47;244
961;36;42;245
962;36;41;243
963;36;42;244
964;36;42;245
965;36;41;249
966;36;43;245
967;36;43;245
968;35;42;245
969;35;41;245
970;36;42;244
971;36;41;245
972;36;42;243
973;36;42;244
974;35;42;246
975;35;41;244
976;36;41;244
977;36;41;244
978;36;44;245
979;36;41;245
980;36;43;244
981;35;42;245
982;36;41;247
983;35;42;250
984;36;41;245
985;36;41;264
986;36;41;251
987;36;49;244
988;36;41;245
989;40;42;258
990;36;42;253
991;37;44;251
992;62;71;292
993;36;43;262
994;51;50;248
995;37;42;248
996;49;55;275
997;46;51;251
998;36;42;321
999;70;42;250
1000;36;42;263
