Iteration;False Positive
791;98,418
792;98,416
793;98,414
794;98,412
795;98,409996
796;98,408005
797;98,406
798;98,404
799;98,402
800;98,4
801;98,398
802;98,395996
803;98,394
804;98,392
805;98,39
806;98,388
807;98,386
808;98,384
809;98,382
810;98,38
811;98,378006
812;98,376
813;98,374
814;98,372
815;98,369995
816;98,368004
817;98,366
818;98,364
819;98,362
820;98,36
821;98,358
822;98,356
823;98,354
824;98,352
825;98,35
826;98,348
827;98,346
828;98,344
829;98,342
830;98,34
831;98,338005
832;98,336
833;98,334
834;98,332
835;98,329994
836;98,328
837;98,326
838;98,324
839;98,322
840;98,32
841;98,318
842;98,316
843;98,313995
844;98,312004
845;98,31
846;98,30801
847;98,306
848;98,304
849;98,302
850;98,299995
851;98,298004
852;98,296
853;98,294
854;98,292
855;98,29
856;98,288
857;98,286
858;98,284
859;98,282
860;98,28
861;98,278
862;98,276
863;98,274
864;98,272
865;98,27
866;98,268005
867;98,266
868;98,264
869;98,262
870;98,259995
871;98,258
872;98,256
873;98,254
874;98,252
875;98,25
876;98,248
877;98,246
878;98,244
879;98,242004
880;98,24
881;98,238
882;98,236
883;98,234
884;98,232
885;98,229996
886;98,228004
887;98,226
888;98,224
889;98,222
890;98,22
891;98,218
892;98,215996
893;98,214
894;98,212
895;98,21
896;98,208
897;98,206
898;98,204
899;98,202
900;98,2
901;98,198006
902;98,196
903;98,194
904;98,192
905;98,189995
906;98,188
907;98,186
908;98,184
909;98,182
910;98,18
911;98,178
912;98,176
913;98,173996
914;98,172
915;98,17
916;98,168
917;98,166
918;98,164
919;98,162
920;98,159996
921;98,158005
922;98,156
923;98,154
924;98,152
925;98,15
926;98,148
927;98,145996
928;98,144
929;98,142
930;98,14
931;98,138
932;98,136
933;98,134
934;98,132
935;98,13
936;98,128006
937;98,126
938;98,124
939;98,122
940;98,119995
941;98,118004
942;98,116
943;98,114
944;98,112
945;98,11
946;98,108
947;98,106
948;98,104004
949;98,102
950;98,1
951;98,098
952;98,096
953;98,094
954;98,092
955;98,09
956;98,088005
957;98,086
958;98,084
959;98,082
960;98,079994
961;98,078
962;98,076
963;98,074
964;98,072
965;98,07
